Index,TeamA,TeamB,TeamAruns,TeamBruns,TossWinner_Name,TossDecision,PlayConditions,MatchWinner_ID
289,Rajasthan,Delhi,141,144,5,0,-1,Delhi
290,Bangalore,Punjab,158,163,4,1,-1,Punjab
291,Pune,Mumbai,119,120,7,0,-1,Mumbai
292,Chennai,Hyderabad,160,150,3,0,-1,Chennai
293,Kolkata,Pune,150,143,1,0,1,Kolkata
294,Punjab,Rajasthan,134,177,5,0,-1,Rajasthan
295,Mumbai,Chennai,174,173,7,1,1,Mumbai
296,Bangalore,Hyderabad,185,181,2,1,-1,Bangalore
297,Delhi,Kolkata,153,154,6,0,-1,Kolkata
298,Pune,Rajasthan,125,126,10,0,1,Rajasthan
299,Hyderabad,Punjab,145,170,11,1,-1,Punjab
300,Mumbai,Bangalore,141,142,2,1,-1,Bangalore
301,Rajasthan,Chennai,126,127,3,1,-1,Chennai
302,Pune,Bangalore,128,173,10,1,-1,Bangalore
303,Kolkata,Mumbai,155,182,7,0,1,Mumbai
304,Chennai,Delhi,115,114,3,1,-1,Chennai
305,Rajasthan,Pune,170,125,5,0,1,Rajasthan
306,Punjab,Hyderabad,194,190,11,0,-1,Punjab
307,Bangalore,Mumbai,171,173,7,1,1,Mumbai
308,Kolkata,Chennai,158,160,3,1,-1,Chennai
309,Delhi,Punjab,140,136,4,0,-1,Delhi
310,Mumbai,Kolkata,108,140,7,1,-1,Kolkata
311,Punjab,Chennai,123,120,4,1,1,Punjab
312,Delhi,Bangalore,180,215,6,1,-1,Bangalore
313,Hyderabad,Rajasthan,128,126,5,0,-1,Hyderabad
314,Punjab,Delhi,141,145,6,1,1,Delhi
315,Pune,Kolkata,102,136,1,0,-1,Kolkata
316,Hyderabad,Bangalore,132,123,2,1,1,Hyderabad
317,Rajasthan,Mumbai,162,163,5,0,-1,Mumbai
318,Delhi,Kolkata,144,162,1,0,-1,Kolkata
319,Chennai,Mumbai,187,149,7,1,-1,Chennai
320,Delhi,Chennai,136,222,6,1,-1,Chennai
321,Kolkata,Chennai,192,190,3,0,-1,Kolkata
322,Mumbai,Kolkata,122,163,1,0,-1,Kolkata
323,Delhi,Bangalore,145,146,2,1,-1,Bangalore
324,Chennai,Punjab,205,206,3,0,1,Punjab
